bucket	size	train_nll	pass@1	pass@1_easy	pass@1_med	pass@1_hard
2k_4k	1k	1.3020	0.34%	1.08%	0.00%	0.00%
2k_4k	2k	1.5531	0.00%	0.00%	0.00%	0.00%
2k_4k	4k	0.8795	—	—	—	—
4k_6k	1k	1.9083	—	—	—	—
4k_6k	2k	1.2966	—	—	—	—
4k_6k	4k	1.1425	—	—	—	—
6k_8k	1k	1.9558	—	—	—	—
6k_8k	2k	1.3801	—	—	—	—
6k_8k	4k	1.0857	—	—	—	—
8k_12k	1k	1.8769	—	—	—	—
8k_12k	2k	1.4067	—	—	—	—
8k_12k	4k	1.5344	0.45%	0.36%	0.30%	0.74%
12k_16k	1k	1.9836	—	—	—	—
12k_16k	2k	1.4853	—	—	—	—
12k_16k	4k	1.4686	—	—	—	—
16k_20k	1k	1.1480	—	—	—	—
16k_20k	2k	1.5760	—	—	—	—
16k_20k	4k	2.2855	—	—	—	—
16k_20k	8k	2.4452	—	—	—	—
